Nome,Indirizzo,Numero,Orari,ivg_farm,ivg_chirurgica,itg,Annotazioni
Ospedale Carlo Poma - Mantova,"Str. Lago Paiolo, 10, 46100 Mantova MN",0376 201423 (prenotazione) 0376 2011 e digitare 1,Non specificati,SI,SI,SI,Vi fa riferimento anche l'ospedale di Asola dove non esiste più la ginecologia
Ospedale Pieve di Coriano - Borgo Mantovano,"Via Bugatte, 1, 46020 Borgo Mantovano MN",0376 2011 e digitare 4 (prenotazione) 0386 717200,Non specificati,SI,SI,SI,nan
Ospedale Civile di Vigevano,"Corso Milano, 19, 27029 Vigevano PV",0381 3331 (prenotazione),Tutti i giorni,SI,SI,SI,Prima di chiamare questo ospedale vi consigliamo fortemente di contattarci alla mail ufficiostampalaiga@gmail.com. Per possibilità di certificato presso la struttura; Vi fa riferimento anche l'ospedale di Mortara che non ha la ginecologia.
Ospedale Civile di Voghera,"Via Volturno, 14, 27058 Voghera PV",0383 695743 (prenotazione) 0383 695732,tutti i giorni,SI,SI,SI,nan
Ospedale di Sant'Antonio Abate-Gallarate,"Via Pastori, 4 - 21013 Gallarate (VA)",0331 751111 (prenotazione),Non specificati,SI,SI,SI,Prenotazioni anche tramite il consultorio di Gallarate
Ospedale di Treviglio -ASST Bergamo ovest,"Piazzale Ospedale Luigi Meneguzzo, 1, 24047 Treviglio BG",0363 4241,Non Specificato,SI,SI,SI,nan
ASST Bergamo Ovest - Ospedale Treviglio Caravaggio,"Piazzale Ospedale, 1, 24047 Treviglio BG",0363 4241 0363 424376 (sala parto) 0363 424343 (ginecologia),"Per le IVG Invio esclusivo in casi selezionati dopo contatto con Servizio di IVG di Romano di Lombardia, per le ITG tutti i giorni",SI,SI,SI,Le procedure di IVG sia chirurgiche che farmacologiche vengono eseguite a Treviglio solo in casi selezionati o nei periodi di chiusura del DH di Romano di Lombardia.  Per accedere all’ITG  prendere contatti con la sala parto per organizzare il colloquio e la programmazione del ricovero
Spedali Civili di Brescia,"Piazzale Spedali Civili, 1 25123 (Brescia)",030 39951 030 3995429 (ambulatorio ostetrico),Non specificati,SI,SI,SI,e-mail ambulatorio.ostetricoginecologico@asst-spedalicivili.it
Ospedale di Desenzano del Garda,"Str. Vicinale di Montecroce, 25015 Montecroce BS",030 9145260 030 91451,Ambulatorio aperto il primo e il terzo lunedì del mese,SI,SI,SI,andrea.lojacono@asst-garda.it
Ospedale Papa Giovanni XXIII Bergamo,"Piazza OMS, 1, 24127 Bergamo BG",035 2673151 (day hospital)     035 2678389 (capo ostetrica)   035 2674588 (p.s. ginecologico)    035 267111 (centralino),Ogni martedì,SI,SI,SI,nan
ASST di Valle Camonica - Edolo/Esine (BS),Piazza Donatori di Sangue 1 - EDOLO (BS).,036 4369043 (ginecologia) 036 43691 (centralino) 0364 439501 (CUP),Non specificati,SI,SI,SI,Si accede al percorso IVG su prenotazione tramite il CUP al numero 0364 439501
Ospedale di Manerbio,"Lungomella Valsecchi, 2, 25025 Manerbio BS",030 99291 (centralino) 030 9929481 (ambulatorio) 030 9929309 (ginecologia),Non specificati,SI,SI,SI,Si accede al percorso IVG su prenotazione all'ambulatorio. Telefonare al numero 0309 929481 dal lunedì al venerdì dalle 14 alle 15.30 avendo già test di gravidanza o certificato di gravidanza.
Ospedale Sant'Antonio Abate di Cantù,"Via Domea, 4, 22063 Cantù CO",031 799111 (centralino) 031 755225 (ambulatorio)  031 5859320 (prenotazione),"lunedì su appuntamento, portando ecografia e certificato fatti tramite consultorio",SI,SI,SI,Si accede al percorso IVG su prenotazione tramite consultorio. Chiamare il numero 0315859320.
"Ospedale Sant'Anna - Como (presidio di Cantù. Via Domea 4, Cantù)","Via Ravona, 22042 San Fermo della Battaglia CO",031 799111 031 5859320,Lunedi dalle 8.30 alle 14,SI,SI,SI,"Si accede al percorso IVG previo appuntamento, recandosi al poliambulatorio di ginecologia. Durante il primo incontro vengono effettuate visita ed eventuale ecografia. Vengono fissati un secondo incontro per le analisi e visita anestesiologica e un terzo per l'intervento in anestesia generale garantita."
Ospedale Maggiore di Crema (CR),"Largo Ugo Dossena, 2, 26013 Crema CR",0373 280250 (sala parti) 0373 280284 (reparto ginecologia) 0373 2801,Non specificati,SI,SI,SI,
Istituti Ospedalieri Cremona,"Viale Concordia,1 - Cremona",0372 405211-15  (ginecologia)                0372 405615 (caposala) 0372 405638 (ambulatorio),Non specificati,SI,SI,SI,"Si accede al percorso IVG su prenotazione. Chiamare l'ambulatorio al numero 0372 405638 dalle 12 alle 14.30 per prendere appuntamento, avendo già ecografia e certificato"
Presidio Ospedaliero A.Manzoni di Lecco,"Via dell'Eremo, 9/11, 23900 Lecco LC",0341 253864 (consultorio) 0341 253865 (consultorio) 0341 253015 (Coordinatrice Ostetrica Consuelo Cazzaniga),Tutti i giorni dal Lunedì al Venerdì dalle 8.30 alle 16,SI,SI,SI,"Applicazione LARC sia contestulamente a IVG farmacologica sia IVG chirurgica Per INFO e prenotazione certificazioni telefonare al Consultorio di Lecco in via Tubi 43 al numero 0341 253864 o 0341 253865 Per programmazione di IVG sia chirurgiche sia farmacologiche, se già in possesso di certificazione, telefonare alla Coordinatrice Ostetrica Consuelo Cazzaniga al numero 0341 253015"
Presidio Ospedaliero di Garbagnate/Salvini,"Via Carlo Forlanini, 95, 20024 Garbagnate Milanese MI",02 994302255 (ginecologia)      02 994302250 (sala parto) 02 994301 (centralino),Non specificati,SI,SI,SI,nan
Ospedale San Paolo di Milano,"Via Antonio di Rudinì, 8, 20142 Milano MI",02 81844186 02 81841 (centralino),lunedì 13:30 ad esaurimento,SI,SI,SI,"Per accedere al percorso IVG bisogna presentarsi in ambulatorio (stanza n°5, -1° piano) il lunedì alle 13.30 per fissare un appuntamento per analisi e data dell'intervento. Gli interventi sono in anestesia generale, su richiesta possibile svolgerli in anestesia locale."
Ospedale Mangiagalli di Milano (anche Policlinico di Milano Ca' Granda),"Via della Commenda, 10, 20122 Milano MI",02 55034224 (consultorio via Pace) / 02-55034906 / 02 55034901 per la embrioriduzione (8-9 tutti i giorni),Non specificati,SI,SI,SI,"Per avere un appuntamento per IVG in breve tempo: 1) se sei già in possesso del Certificato di IVG e di una Tessera Sanitaria ancora valida o sei già in possesso di una STP valida devi telefonare al 02-55034906 , dal lunedì al venerdì dalle ore 8.00 alle ore 9.00 e dalle ore 14.00 alle ore 14.30 2) se non hai il Certificato di IVG oppure sei una cittadina proveniente da paesi extra-Unione Europea senza permesso di soggiorno devi chiamare il Consultorio 02-55034900 oppure inviare una mail a consultoriofamiliare@policlinico.mi.it Altre info su www.policlinico.mi.it/repart/194"
Ospedale Macedonio Melloni di Milano,"Via Macedonio Melloni, 52, 20129 Milano MI",02 636333305,Non specificati,SI,SI,SI,"Si accede al percorso IVG tramite appuntamento. Telefonare al numero indicato il marted, mercoledì o giovedì dalle 11 alle 12. Risponde un operatore se ci sono posti disponibili, altrimenti risponde una segreteria telefonica.  Prima dell'intervento sono previsti 2 o 3 incontri per analisi, visita anestesiologica ed eventuale ecografia."
ASST Grande Ospedale Metropolitano Niguarda,"Piazza dell'Ospedale Maggiore, 3, 20162 Milano MI",02 64441 (centralino) 02 6444/3789- 7944-7661,Martedì e Venerdì dalle 13 alle 14.30,SI,SI,SI,Per accedere al percorso IVG è necessario presentarsi allo sportello CUP (qualsiasi giorno della settimana)
Ospedale San Gerardo dei Tintori di Monza,"Via G. B. Pergolesi, 33, 20800 Monza MB",039 2331 (centralino) 039 2339441 (ginecologia)  039 2339434 (ambulatorio),Non specificati,SI,SI,SI,Per accedere al percorso IVG è necessario chiamare l'ambulatorio al numero 039 2339434 dalle 12 alle 14.30 dal lunedì al venerdì
Ospedale Civile di Sesto San Giovanni (MI),"Viale Giacomo Matteotti, 83, 20099 Sesto San Giovanni MI",02 57991 (centralino) 02 57999305 (ginecologia),"lunedì e giovedì mattina senza appuntamento, avendo già con certificato ed ecografia",SI,SI,SI,"Si accede al percorso IVG senza appuntamento negli orari indicati oppure tramite appuntamento, chiamando il reparto ginecologia al numero 02 57999305"
Ospedale Buzzi di Milano,"Via Lodovico Castelvetro, 32, 20154 Milano MI",02 63631 ( centralino) 02 63635326 (infermeria),Il giorno dell'appuntamento presentarsi al Padiglione Gualta (2° piano) negli orari indicati. Necessario essere a digiuno e portare un campione di urine del mattino.,SI,SI,SI,Per accedere al percorso IVG occorre prendere un appuntamento via email all'indirizzo prenotagine.buzzi@asst-fbf-sacco.it e specificando a che settimana si è e avendo già un certificato
Ospedale di Vizzolo Predabissi (MI),"Via Pandina, 1, 20077 Vizzolo Predabissi MI",02 98052263 (sala parto)       02 98058717-2274 (day hospital IVG) 02 98051 (centralino),day hospital dal lunedì al venerdì dalle 8.30 alle 14,SI,SI,SI,Si accede al percorso IVG con accesso programmato. Telefonare al numero 02 98058717-2274
Azienda Ospedaliera Melegnano (MI),Via Cavour Camillo Benso 59 - 20077 Melegnano (MI),02 98052667 02 98052274 02 98126684,Non specificati,SI,SI,SI,"Per accedere al percorso IVG è necessario prendere un appuntamento chiamando al numero 02 98052274 dal lunedì al venerdì, dalle 13 alle 15"
Policlinico San Matteo (PV),"Viale Camillo Golgi, 19, 27100 Pavia PV",0382 5011 (centralino) 0382 501215 (segreteria),Non specificati,SI,SI,SI,"Per accedere al percorso IVG è necessario prendere un appuntamento il lunedì, mercoledì e venerdì dalle 13.30 alle 14.30"
Ospedale Fondazione Macchi di Cittiglio (VA),"Via Luvini, 2, 21033 Cittiglio VA",0332 607241 (ginecologia ) 0332 607111 (centralino),Non specificati,SI,SI,SI,Si programmano in base ai turni del medico. Per accedere al percorso IVG chiamare tutti i giorni al numero della ginecologia
Ospedale Unificato Broni di Stradella (PV),"Via Carlo Achilli, 27049 Stradella PV",0385 582035 (ginecologia) 0385 582190 (centralino),Non specificati,SI,SI,SI,"Si accede al percorso IVG su appuntamento. Chiamare la ginecologia dal lunedì al venerì dalle 14 alle 15.30, avendo già la certificazione"
Ospedali riuniti San Giacomo,"Via Edilio Raggio, 12 15067 Novi Ligure (AL)",0143 332111 0143 332460 (consultorio),Non specificati,SI,SI,SI,Per IVG si accede tramite consultorio in via Papa Giovanni XXIII n.1 -  tel 0143 332640 su appuntamento.
Ospedale Infermi di Biella,"Via dei Ponderanesi, 2, 13875 Ponderano BI",015 15151 015 15157636 (reparto IVG) 015 15157699 (reparto IVG) 015 15159351 (consultorio),solo la mattina,SI,SI,SI,"Si accede al percorso IVG tramite consultorio di Biella in via Caraccio 4 - tel 015 15159351 senza appuntamento, le dottoresse ci sono solo la mattina"
Azienda Ospedaliero-Universitaria Ospedale Maggiore della Carità di Novara,"Largo Bellini, 28100 Novara NO",03213733672 (reparto) 0321 374459 (consultorio),Non specificati / Per IVG farmacologiche accesso diretto lunedì e mercoledì h 8-9 ambulatorio ginecologia seminterrato padiglione E,SI,SI,SI,Si accede al percorso IVG su appuntamento tramite consultorio del distretto in viale Roma 7. telefonare al numero 0321 374459 per appuntamento.
Ospedale ostetrico ginecologico Sant'Anna - Torino,"Via Ventimiglia, 3, 10126 Torino TO",011 6331633,Non specificati,SI,SI,SI,"Per IVG richiedere prima certificato da un consultorio o ginecologo privato, poi prenotare tramite centralino chiedendo lo sportello 13"
Azienda Ospedaliera Nazionale SS. Antonio e Biagio e Cesare Arrigo (parte di Ospedale Civile Santi Antonio e Biagio e Cesare Arrigo),"Via Venezia, 16, 15121 Alessandria AL",0131 206111 0131 206197 (Reparto IVG),Non specificati,SI,SI,SI,nan
Ospedale Centrale Di Bolzano,"Via Lorenz Böhler, 5, 39100 Bolzano BZ",0471 908111                0471 348536,Non specificati,SI,SI,SI,nan
Ospedale S. Chiara - Trento,"Largo Medaglie d'oro, 9, 38122 Trento TN",0461 903111,Non specificati,SI,SI,SI,"L'IVG chirurgica viene effettuata al Presidio Ospedaliero Villa Igea in Via Malta, 16, 38122 Trento"
"Ospedale ""Tappeiner"" Merano - Bolzano","Via Rossini, 5, 39012 Merano BZ",0473 264080 (ambulatorio) 0473-264088; 0473-264082; 0473 263333 (centralino),Giorni feriali ore 8-16,SI,SI,SI,nan
Ospedale di Belluno,"Viale Europa, 22, 32100 Belluno BL",0437 516359,Non specificati,SI,SI,SI,L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital
Ospedale Civile S. Maria degli Angeli - Adria,"Piazzale degli Etruschi, 9, 45011 Adria RO",0426 940370,Non specificati,SI,SI,SI,L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital
Ospedale di Feltre,"Via Bagnols Sur Cèzè, 1, 32032 Feltre BL",0439 883447,Lunedì e venerdì,SI,SI,SI,L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital
Ospedale Civile di Arzignano,via del Parco 1 - 36071 Arzignano,0444 479111,Non specificati,SI,SI,SI,"L'IVG viene organizzata ed effettuata un giorno a settimana nel quale operano ginecologi esterni alla struttura. L'accesso avviene attraverso i consultori di Arzignano o Montecchio, in base alla residenza della paziente. L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital"
Ospedale Civile di Conegliano,"Via Brigata Bisagno, 2, 31015 Conegliano TV",0438 663290,Lunedì,SI,SI,SI,Per info ginecologiacn@ulss7.it L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital
Ospedale di Mirano,Via Don Giacobbe Sartor 4 - 30035 Mirano (VE),0415 103520,Non specificati,SI,SI,SI,L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital
Ospedale Di Legnago (Vr),"Via Carlo Gianella, 1, 37045 Legnago VR",0442 622499 (prenotazione) 0442-622224 0442 622111,Non specificati,SI,SI,SI,Per accedere al percorso IVG telefonare la mattina entro le 13 al numero 0442 622499
Azienda Ospedaliera Universitaria Integrata di Verona (formata da Borgo Trento e Borgo Roma),"P.le A. Stefani 1, 37126 - Verona",045 8121111 (centralino) 045 2323717 (CUP per prenotazioni) 045 8122178 (Borgo Trento),"lunedì, mercoledì e venerdì dalle 11 alle 13",SI,SI,SI,"Per accesso al percorso IVG bisogna avere l'impegnativa con richiesta di datazione ecografica della gravidanza, ottenibile tramite consultorio e/o medico di fiducia. In tale documento viene specificato un tempo di attesa di 7 giorni dalla data di emissione per l'effettuazione della procedura chirurgica. In caso di urgenza per scadenza dei termini deve essere riportata sul documento la specifica di urgenza.  - Impegnativa con richiesta di datazione ecografica della gravidanza.  - Programmazione intervento tramite Day Hospital specialistico previa valutazione presso l'ambulatorio di Pianificazione Familiare - IVG.  - Presa in carico a breve termine ed effettuazione della prestazione richiesta secondo termini di legge. Richiesta medico curante ecografia per datazione gravidanza"
I.R.C.C.S Burlo Garofolo - Istituto per l'infanzia di Trieste,"Via dell'Istria, 65/1, 34137 Trieste TS",040 3785111           040 3785384 (reparto) 040 3785370 (ginecologia),Non specificati,SI,SI,SI,Per avere informazioni bisogna chiamare reparto di ginecologia al numero 040 3785370 dalle 12 alle 14 Ambulatorio al 4 piano scala B
Ospedale S. Andrea di La Spezia,"Via Vittorio Veneto, 197, 19121 La Spezia SP",0187 533329        0187 533401 (reparto),Non specificati,SI,SI,SI,"Si accede al percorso IVG tramite consultorio. Procedura IVG in Day Hospital, le analisi vengono effettuate presso l'ospedale."
Ospedali Riuniti Imperia E Costarainera - Imperia (Online Come Ospedale Civile Di Imperia),"57, Via Sant Agata - 18100 Imperia (IM).",0183 5361                      0183 537454 (per prenotazione),Non specificati,SI,SI,SI,Per accedere al percorso IVG occorre prenotare presso il reparto day surgery entro le ore 14 . Telefonare al numero 0183 537454
Ospedale SS Annunziata- Cento (FE),"Via Vicini, 2 - 44042 Cento (FE)",051 683 8111 0516 838431 (consultorio),Non specificati,SI,SI,SI,Prenotazione tramite consultorio di Cento (0516 838431) dal lunedì al venerdì dalle ore 12:30 alle 13:30 L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital
Ospedale di Faenza (anche Ospedale Degli Infermi di Faenza),"Viale Stradone, 9 48018 Faenza",0546 601880,Non specificati,SI,SI,SI,L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital
Ospedale Provinciale di Reggio Emilia,"Viale Risorgimento, 80, 42123 Reggio Emilia RE",0522 296111,Non specificati,SI,SI,SI,L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital
Ospedale Santa Maria delle Croci - Ravenna,"Viale Vincenzo Randi, 5, 48121 Ravenna RA",0544 285233,Mattina,SI,SI,SI,L'IVG chirurgica viene fatta con pre-ospedalizzazione + Day Hospital
