Nome,Indirizzo,Numero,Orari,ivg_farm,ivg_chirurgica,itg,Annotazioni,CAP,Città
Ospedale Carlo Poma - Mantova,Str. Lago Paiolo 10,0376 201423 (prenotazione) 0376 2011 e digitare 1,Non specificati,SI,SI,SI,Vi fa riferimento anche l'ospedale di Asola dove non esiste più la ginecologia,46100,Mantova MN
Ospedale Pieve di Coriano - Borgo Mantovano,Via Bugatte 1,0376 2011 e digitare 4 (prenotazione) 0386 717200,Non specificati,SI,SI,SI,nan,46020,Borgo Mantovano MN
Ospedale Civile di Vigevano,Corso Milano 19,0381 3331 (prenotazione),Tutti i giorni,SI,SI,SI,Prima di chiamare questo ospedale vi consigliamo fortemente di contattarci alla mail ufficiostampalaiga@gmail.com. Per possibilità di certificato presso la struttura; Vi fa riferimento anche l'ospedale di Mortara che non ha la ginecologia.,27029,Vigevano PV
Ospedale Civile di Voghera,Via Volturno 14,0383 695743 (prenotazione) 0383 695732,tutti i giorni,SI,SI,SI,nan,27058,Voghera PV
Ospedale di Sant'Antonio Abate-Gallarate,Via Pastori 4,0331 751111 (prenotazione),Non specificati,SI,SI,SI,Prenotazioni anche tramite il consultorio di Gallarate,21013,Gallarate VA
Ospedale di Treviglio -ASST Bergamo ovest,Piazzale Ospedale Luigi Meneguzzo 1,0363 4241,Non Specificato,SI,SI,SI,nan,24047,Treviglio BG
ASST Bergamo Ovest - Ospedale Treviglio Caravaggio,Piazzale Ospedale 1,0363 4241 0363 424376 (sala parto) 0363 424343 (ginecologia),"Per le IVG Invio esclusivo in casi selezionati dopo contatto con Servizio di IVG di Romano di Lombardia, per le ITG tutti i giorni",SI,SI,SI,Le procedure di IVG sia chirurgiche che farmacologiche vengono eseguite a Treviglio solo in casi selezionati o nei periodi di chiusura del DH di Romano di Lombardia.  Per accedere all’ITG  prendere contatti con la sala parto per organizzare il colloquio e la programmazione del ricovero,24047,Treviglio BG
Spedali Civili di Brescia,Piazzale Spedali Civili 1,030 39951 030 3995429 (ambulatorio ostetrico),Non specificati,SI,SI,SI,e-mail ambulatorio.ostetricoginecologico@asst-spedalicivili.it,25123,Brescia BS
Ospedale di Desenzano del Garda,Str. Vicinale di Montecroce,030 9145260 030 91451,Ambulatorio aperto il primo e il terzo lunedì del mese,SI,SI,SI,andrea.lojacono@asst-garda.it,25015,Montecroce BS
Ospedale Papa Giovanni XXIII Bergamo,Piazza OMS 1,035 2673151 (day hospital)     035 2678389 (capo ostetrica)   035 2674588 (p.s. ginecologico)    035 267111 (centralino),Ogni martedì,SI,SI,SI,nan,24127,Bergamo BG
ASST di Valle Camonica - Edolo/Esine (BS),Piazza Donatori di Sangue 1,036 4369043 (ginecologia) 036 43691 (centralino) 0364 439501 (CUP),Non specificati,SI,SI,SI,Si accede al percorso IVG su prenotazione tramite il CUP al numero 0364 439501,25048,Edolo BS
Ospedale di Manerbio,"Lungomella Valsecchi,  2",030 99291 (centralino) 030 9929481 (ambulatorio) 030 9929309 (ginecologia),Non specificati,SI,SI,SI,Si accede al percorso IVG su prenotazione all'ambulatorio. Telefonare al numero 0309 929481 dal lunedì al venerdì dalle 14 alle 15.30 avendo già test di gravidanza o certificato di gravidanza.,25025,Manerbio BS
Ospedale Sant'Antonio Abate di Cantù,"Via Domea,  4",031 799111 (centralino) 031 755225 (ambulatorio)  031 5859320 (prenotazione),"lunedì su appuntamento, portando ecografia e certificato fatti tramite consultorio",SI,SI,SI,Si accede al percorso IVG su prenotazione tramite consultorio. Chiamare il numero 0315859320.,22063,Cantù CO
"Ospedale Sant'Anna - Como (presidio di Cantù. Via Domea 4, Cantù)",Via Ravona,031 799111 031 5859320,Lunedi dalle 8.30 alle 14,SI,SI,SI,"Si accede al percorso IVG previo appuntamento, recandosi al poliambulatorio di ginecologia. Durante il primo incontro vengono effettuate visita ed eventuale ecografia. Vengono fissati un secondo incontro per le analisi e visita anestesiologica e un terzo per l'intervento in anestesia generale garantita.",22042,San Fermo della Battaglia CO
Ospedale Maggiore di Crema (CR),"Largo Ugo Dossena,  2",0373 280250 (sala parti) 0373 280284 (reparto ginecologia) 0373 2801,Non specificati,SI,SI,SI,,26013,Crema CR
Istituti Ospedalieri Cremona,Viale Concordia 1,0372 405211-15  (ginecologia)                0372 405615 (caposala) 0372 405638 (ambulatorio),Non specificati,SI,SI,SI,"Si accede al percorso IVG su prenotazione. Chiamare l'ambulatorio al numero 0372 405638 dalle 12 alle 14.30 per prendere appuntamento, avendo già ecografia e certificato",26100,Cremona  CR
Presidio Ospedaliero A.Manzoni di Lecco,"Via dell'Eremo,  9/11",0341 253864 (consultorio) 0341 253865 (consultorio) 0341 253015 (Coordinatrice Ostetrica Consuelo Cazzaniga),Tutti i giorni dal Lunedì al Venerdì dalle 8.30 alle 16,SI,SI,SI,"Applicazione LARC sia contestulamente a IVG farmacologica sia IVG chirurgica Per INFO e prenotazione certificazioni telefonare al Consultorio di Lecco in via Tubi 43 al numero 0341 253864 o 0341 253865 Per programmazione di IVG sia chirurgiche sia farmacologiche, se già in possesso di certificazione, telefonare alla Coordinatrice Ostetrica Consuelo Cazzaniga al numero 0341 253015",23900,Lecco LC
