Nome,Indirizzo,Codice Postale,Città,Paese,Regione
Gynmed LKH Salzburg,Müllner Hauptstraße 48,5020,Salzburg,Austria,Salzburg
Gynmed Ambulatorium für Schwangerschaftsabbruch und Familienplanung,Mariahilfer Gürtel 37,1150,Vienna,Austria,Vienna
IR-Institut Dr.med. univ. Bernd Ellersdorfer,Villacherstraße 1a/9,9020,Klagenfurt,Austria,Carinthia
Dr. Dietmar Pacher,Klagenfurter Straße 20,9500,Villach,Austria,Carinthia
Landesklinikum Korneuburg,Wiener Ring 3-5,2100,Korneuburg,Austria,Lower Austria
Landesklinikum St. Pölten - Gynäkologische Ambulanz,Propst Führer Straße 4,3100,St. Pölten,Austria,Lower Austria
Femina-Med Zentrum Dr. Andreas Glasner,Herrengasse 9,8010,Graz,Austria,Styria
Dr. Walter Kobor,Haydngasse 3,8010,Graz,Austria,Styria
Geburtshilflich- Gynäkologische Universitäts-Klinik Graz,Auenbruggerplatz 14,8036,Graz,Austria,Styria
Dr. Hans Joachim Wolf,Valiergasse 62,6020,Innsbruck,Austria,Tyrol
AKH Linz,Krankenhausstraße 9,4021,Linz,Austria,Upper Austria
pro:woman Ambulatorium für Sexualmedizin und Schwangerenhilfe,Fleischmarkt 26,1010,Vienna,Austria,Vienna
Krankenanstalt Sanatorium Hera,Löblichgasse 14,1090,Vienna,Austria,Vienna
Sozialmedizinisches Zentrum Süd - Kaiser-Franz-Josef-Spital - Gynäkolog. geburtshilfliche Abteilung,Kundratstraße 3,1100,Vienna,Austria,Vienna
"Krankenhaus Hietzing, Gynäkologische Ambulanz",Wolkersbergenstraße 1,1130,Vienna,Austria,Vienna
Ärztehaus Montfort Langzeitverhütung-Konfliktschwangerschaft,Jahnstraße 20,6900,Bregenz,Austria,Vorarlberg
Dr. med. Harald Sparn,"P 3, 14",68161,Mannheim,Germany,Baden Wuerttemberg
Dr. med. Friedhelm Sych,Rahnfelsstr. 16,68163,Mannheim,Germany,Baden Wuerttemberg
Dr. med. Wolfgang von Mühlenfels,Friedrichsplatz10,68165,Mannheim,Germany,Baden Wuerttemberg
"Dr. Kristiane Palm, Astrid Preiß",Seckenheimer Hauptstraße 143,68239,Mannheim,Germany,Baden Wuerttemberg
Dr. Wieland Christner,Seckenheimer Hauptstraße 114,68239,Mannheim,Germany,Baden Wuerttemberg
"Dr. med. Michael Oberniedermayr, Dr. med. Thomas Piotrowski",Seckenheimer Hauptstr. 88,68239,Mannheim-Seckenheim,Germany,Baden Wuerttemberg
Dr. med. Susanna Haller,Marktstr. 9,69168,Wiesloch,Germany,Baden Wuerttemberg
"Dr. Paul Dostal.  Dr. med. Berit Deiters, Ulrike Piro",Königstrasse 70,70173,Stuttgart,Germany,Baden Wuerttemberg
Dr. med. Axel Bansbach,Gerokstr. 29,70182,Stuttgart,Germany,Baden Wuerttemberg
"Klinikverbund Südwest, Kliniken Böblingen; Frauenklinik",Bunsenstr. 120,71032,Böblingen,Germany,Baden Wuerttemberg
Praxisklinik Johannes Gottenbos,Monreposstraße 49,71634,Ludwigsburg,Germany,Baden Wuerttemberg
Universitäts-Frauenklinik Tübingen,Calwerstrasse 7,72076,Tübingen,Germany,Baden Wuerttemberg
Dr. med. Wolfgang Henne,Turmstraße 19,72202,Nagold,Germany,Baden Wuerttemberg
Dr. med. Wiebke Herter,Tübinger Str. 44,72336,Balingen,Germany,Baden Wuerttemberg
Dr. med. Wiebke Herter,Tübinger Straße 44,72336,Ballingen,Germany,Baden Wuerttemberg
Dr. Michael W. Pawlik,Goethestr. 33,72461,Albstadt,Germany,Baden Wuerttemberg
Dr. Rudolf Stromp,Hülbenerstrasse 66,72516,Dettingen/Erms,Germany,Baden Wuerttemberg
Dr. med. Hayfa Atassi-Scheller,Bleichstr. 6,73033,Göppingen,Germany,Baden Wuerttemberg
Dr. med. Michael Schneider,Hauptstr. 19,73061,Ebersbach,Germany,Baden Wuerttemberg
Dr. Abolghasem Resaei,Bocksgasse 38,73525,Schwäbisch Gmünd,Germany,Baden Wuerttemberg
Serap Satir Rüzgar,Ackergasse 9,73525,Schwäbisch Gmünd,Germany,Baden Wuerttemberg
Dr. Adnan Gül,Karlstr. 23,74072,Heilbronn,Germany,Baden Wuerttemberg
Dr. med. Labib Schell,Am Wollhaus 1,74072,Heilbronn,Germany,Baden Wuerttemberg
Dr. Jürgen Köhler & Dr. med. Isolde  Helwig,Karlstrasse 103,74076,Heilbronn,Germany,Baden Wuerttemberg
Prof. Dr. Reinhard Hackenberg,Am Gesundbrunnen 20-26,74078,Heilbronn,Germany,Baden Wuerttemberg
Kreiskrankenhaus Mosbach,Knopfweg 1,74821,Mosbach,Germany,Baden Wuerttemberg
Dr. med. Jürgen Tappe,Dillsteiner Str. 19,75173,Pforzheim,Germany,Baden Wuerttemberg
Dr. Nerva Boldor,Karlstrasse 13,76133,Karlsruhe,Germany,Baden Wuerttemberg
Dr. Larisa Anokhina,Kriegsstraße 216,76135,Karlsruhe,Germany,Baden Wuerttemberg
Dr. med. Marion Rütten,Ebertstraße 18a,76137,Karlsruhe,Germany,Baden Wuerttemberg
"Frauenarztpraxis Kehl - Dr.  Hans-Eike Theopold, Dr. Johanne Graftiaux & Dr. Miriam Oestereich",Kanzmattstr. 2a,77694,Kehl/Rhein,Germany,Baden Wuerttemberg
"Dr. med. Stephen Müller, Dr. Michael Schulze",Hauptstraße  77,77704,Oberkirch,Germany,Baden Wuerttemberg
Dr. med. Franz-Egon Hoernstein,Franz-Conrad-Str. 8,77815,Bühl,Germany,Baden Wuerttemberg
Dr. med. Martin Peschke,Dr. Edwin-Gruninger-Str. 29,77819,Bühl,Germany,Baden Wuerttemberg
Dr. med. Rolf Schillfahrt,In den Muslen 40,78054,Villingen-Schwenningen,Germany,Baden Wuerttemberg
Waldemar Wir,Dauchinger Str. 31,78056,Villingen-Schwenningen,Germany,Baden Wuerttemberg
Dr. med. Matthias Tesseraux,Friedrichstr. 26,78073,Bad Dürrheim,Germany,Baden Wuerttemberg
Dr. med. Peter Doller,Kreuzensteinstr. 7,78224,Singen,Germany,Baden Wuerttemberg
Dr. med. Ulf Krüglstein,Hewenstr. 19,78234,Engen,Germany,Baden Wuerttemberg
Dr. med. Ulf Krüglstein,Hewenstr. 19,78234,Engen,Germany,Baden Wuerttemberg
Dr. Undine Baxmann,Petershauser Straße 30,78467,Konstanz,Germany,Baden Wuerttemberg
Dr. Martin Linnenschmidt,Neuhauser Str. 85,78532,Tuttlingen,Germany,Baden Wuerttemberg
Frauenärzte am Friedrichsbau,Kaiser-Joseph-Str. 274,79098,Freiburg im Breisgau,Germany,Baden Wuerttemberg
Dr. med. Mathias Pässler,Habsburgerstraße 131,79104,Freiburg,Germany,Baden Wuerttemberg
"Dr. med. Deike Bappert , Oliver Dib",Markus-Pflüger-Str. 11,79539,Lörrach,Germany,Baden Wuerttemberg
Dr. med. Janusz Zalasa,Palmstr. 36,79539,Lörrach,Germany,Baden Wuerttemberg
Krankenhaus Spitalfond,Kaiserstraße 93-101,79761,Waldshut-Tiengen,Germany,Baden Wuerttemberg
Dr. med. Jobst Michael Florus,Hauptstr. 40,88630,Pfullendorf,Germany,Baden Wuerttemberg
Dr. med. Monika Kölle-Frick,Hafengasse 2-4,89073,Ulm,Germany,Baden Wuerttemberg
Dr. Reinhard Kirchmayr,Neue Straße 115,89073,Ulm,Germany,Baden Wuerttemberg
Dr. med. Christian Hedde,Frauenstr. 22,89073,Ulm,Germany,Baden Wuerttemberg
MVZ Alb/Donau,Schillerstraße 14,89597,Munderkingen,Germany,Baden Wuerttemberg
Dr. med. Walter Hop,Ansbacher Str. 1,91555,Feuchtwangen,Germany,Baden Wuerttemberg
Klinikum Friedrichshafen,Röntgenstraße 2,91757,Friedrichshafen,Germany,Baden Wuerttemberg
Dr. med. Giovanni de Gregorio,Oettingerstr. 5,91757,Treuchtlingen,Germany,Baden Wuerttemberg
Dr. med. Rodolfo Bogesits,Ludwigstraße 4,63739,Aschaffenburg,Germany,Bavaria
"Gemeinschaftspraxis Dr. med. Ulrich Graßhoff, Dr. med. Bettina Schubring",Frohsinnstr. 32,63739,Aschaffenburg,Germany,Bavaria
Rosa Motsiou,Sendlingerstr. 23,80331,München,Germany,Bavaria
"Dr. med. Knut Hanken, Antonia Hanken-Schnellinger",Sendlinger Str. 37,80331,München,Germany,Bavaria
Dr. med. Wolfram Alberti,Ringseisstr. 9,80337,München,Germany,Bavaria
Dr. Liudmila Kalinina,Baaderstr. 3,80469,München,Germany,Bavaria
Dr. med. Arnold Auer,Volkartstr. 5,80634,München,Germany,Bavaria
