Nome,Indirizzo,Codice Postale,Città,Paese,Regione
Gynmed LKH Salzburg,Müllner Hauptstraße 48,5020,Salzburg,Austria,Salzburg
Gynmed Ambulatorium für Schwangerschaftsabbruch und Familienplanung,Mariahilfer Gürtel 37,1150,Vienna,Austria,Vienna
IR-Institut Dr.med. univ. Bernd Ellersdorfer,Villacherstraße 1a/9,9020,Klagenfurt,Austria,Carinthia
Dr. Dietmar Pacher,Klagenfurter Straße 20,9500,Villach,Austria,Carinthia
Landesklinikum Korneuburg,Wiener Ring 3-5,2100,Korneuburg,Austria,Lower Austria
Landesklinikum St. Pölten - Gynäkologische Ambulanz,Propst Führer Straße 4,3100,St. Pölten,Austria,Lower Austria
Femina-Med Zentrum Dr. Andreas Glasner,Herrengasse 9,8010,Graz,Austria,Styria
Dr. Walter Kobor,Haydngasse 3,8010,Graz,Austria,Styria
Geburtshilflich- Gynäkologische Universitäts-Klinik Graz,Auenbruggerplatz 14,8036,Graz,Austria,Styria
Dr. Hans Joachim Wolf,Valiergasse 62,6020,Innsbruck,Austria,Tyrol
AKH Linz,Krankenhausstraße 9,4021,Linz,Austria,Upper Austria
pro:woman Ambulatorium für Sexualmedizin und Schwangerenhilfe,Fleischmarkt 26,1010,Vienna,Austria,Vienna
Krankenanstalt Sanatorium Hera,Löblichgasse 14,1090,Vienna,Austria,Vienna
Sozialmedizinisches Zentrum Süd - Kaiser-Franz-Josef-Spital - Gynäkolog. geburtshilfliche Abteilung,Kundratstraße 3,1100,Vienna,Austria,Vienna
"Krankenhaus Hietzing, Gynäkologische Ambulanz",Wolkersbergenstraße 1,1130,Vienna,Austria,Vienna
Ärztehaus Montfort Langzeitverhütung-Konfliktschwangerschaft,Jahnstraße 20,6900,Bregenz,Austria,Vorarlberg
