Nome,Indirizzo,Codice Postale,Città,Paese,Regione
LUNA Antwerpen,Fr. Rooseveltplaats 12,2060,Antwerp,Belgium,Antwerp
Planning Marolles,Rue de la Roue 21,1000,Brussels,Belgium,Brussels
Centre de planning familial des FPS Bruxelles,"Rue du Midi, 120",1000,Bruxelles,Belgium,Brussels
Aimer Jeunes,Rue Saint-Jean Népomucène 28,1000,Brussels,Belgium,Brussels
Plan F,Rue des Guildes 22,1000,Brussels,Belgium,Brussels
City Planning C.H.U. Saint-Pierre,Rue Haute 20,1000,Brussels,Belgium,Brussels
Groupe de Sante Josaphat,Rue Royale Sainte Marie 70,1030,Brussels,Belgium,Brussels
Collectif Contraception,Avenue des Celtes 50,1040,Brussels,Belgium,Brussels
Fédération des centres pluralistes familiaux (FCPF),Rue du Trône 127,1050,Brussels,Belgium,Brussels
Fédération Laïque de Centres de Planning Familial,Rue de la Tulipe 34,1050,Brussels,Belgium,Brussels
Aimer a l'ulb,Avenue Jeanne 38,1050,Brussels,Belgium,Brussels
Free Clinic,"Chaussée de Wavre,154 a",1050,Brussels,Belgium,Brussels
Centre de Planning Familial et de sexologie d'Ixelles,Rue du Vivier 89/93,1050,Brussels,Belgium,Brussels
La Famille Heureuse de Saint-Gilles,Avenue du Parc 89,1060,Brussels,Belgium,Brussels
Centre Severine,Avenue Raymond Vander Bruggen 84,1070,Brussels,Belgium,Brussels
Centre de Planning Familial de Woluwe St. Pierre,Rue Jean Deraeck 42,1150,Brussels,Belgium,Brussels
Planning familial Woluwé-Saint-Pierre,Rue Jean Deraeck 14,1150,Brussels,Belgium,Brussels
Sjerp Dilemma Brussels,Waversesteenweg 1055,1160,Brussels,Belgium,Brussels
Centre d'information et de planning de Watermael-Boitsfort,Avenue Leopold Wiener 64,1170,Brussels,Belgium,Brussels
Centre de planning familial et de consultation d'Uccle,Rue de Stalle 24,1180,Brussels,Belgium,Brussels
Centre de Planning Familial de Forest ASBL,Boulevard Guillaume Van Haelen 83,1190,Brussels,Belgium,Brussels
La Famille Heureuse de Saint-Josse,Place Quetelet 4,1210,Brussels,Belgium,Brussels
LUNA Gent,Lieven de Winnestraat 65-001,9000,Gent,Belgium,East Flanders
Centre de Planning et de Consultations Familiales et Conjugales asbl,Boulevard Joseph II 14,6000,Charleroi,Belgium,Hainaut
Centre de planning FPS,Rue d'Orléans 34,6000,Charleroi,Belgium,Hainaut
Collectif Contraception,Avenue des Alliés 26,6000,Charleroi,Belgium,Hainaut
Centre de planning FPS et d'entre tien d'aide 'le Terril',"Rue Frison, 56",6040,Jumet,Belgium,Hainaut
Centre de Planning Familial des F.P.S. du Centre et de Soignies,"Rue de Gosselies, 7",6183,Trazegnies,Belgium,Hainaut
Centre de Planning Familial «La Bulle» à Fleurus,Rue du Collège 10,6220,Fleurus,Belgium,Hainaut
Centre de Planning Familial «La Bulle» à Chimay (antenne de Thuin),Grand'Rue 38,6460,Chimay,Belgium,Hainaut
Centre de Planning Familial «La Bulle» à Thuin,Rue de la Gare du Nord 6,6530,Thuin,Belgium,Hainaut
"Planning Familial ""Les Arbas"" - Mons",Rue des Arbalestriers 100,7000,Mons,Belgium,Hainaut
La Famille Heureuse de Mons,Rue de la Grande Triperie 46,7000,Mons,Belgium,Hainaut
Antenne de Soignies,"Rempart du Vieux Cimetière, 15",7060,Soignies,Belgium,Hainaut
La Famille Heureuse de Frameries,"Rue Dufrasne Friart, 2",7080,Frameries,Belgium,Hainaut
Planning Familial du CPAS de Braine-le-Comte,Rue des frères Dulait 19,7090,Braine-le-Comte,Belgium,Hainaut
Fédération des centres de planning et de consultations (FCPC),"Rue du Marché, 6",7100,La Louvière,Belgium,Hainaut
La Famille Heureuse du Centre (Centre Claire Houtain) - La Louvière,Rue Warocqué 124/126,7100,La Louvière,Belgium,Hainaut
Centre de Planning Familial des FPS,Rue Warocqué 21,7100,La Louvière,Belgium,Hainaut
Centre de Planning Familial «La Bulle» à Binche,Avenue Charles Deliège 66,7130,Binche,Belgium,Hainaut
Centre Léa Lor - Planning Familial du Borinage - Saint-Ghislain,Onzième rue,7330,Saint-Ghislain,Belgium,Hainaut
La Famille Heureuse du Tournaisis,"Rue des clairisses, 13",7500,Tournai,Belgium,Hainaut
Centre de planning familial Aurore Carlier FPS,"Rue de Cordes, 8",7500,Tournai,Belgium,Hainaut
Centre de Planning familial et de Consultations « Au Quai »,"Rue du Quesnoy, 19",7500,Tournai,Belgium,Hainaut
Les centres de planning Le Safran - Peruwelz,Rue pont à la faulx 85,7600,Peruwelz,Belgium,Hainaut
Antenne de Comines-Warneton,"Rue du Chemin de Fer, 10",7780,Comines-Warneton,Belgium,Hainaut
Centre de Conseils Conjugaux et de Planning Familial du pays d'Ath,Rue Maria Thomée 1,7800,Ath,Belgium,Hainaut
LUNA Hasselt,Gouverneur Roppesingel 81,3500,Hasselt,Belgium,Limburg
Collectif Contraception de Liège,"Rue Bouille, 29",4000,Liège,Belgium,Liège
La Famille Heureuse,"Rue Hemricourt, 3",4000,Liège,Belgium,Liège
Centre Louise Michel,Rue des Bayards 45,4000,Liège,Belgium,Liège
Centre de planning familial des FPS Liège,"Rue des Carmes, 17",4000,Liège,Belgium,Liège
Centre de Consultations Conjugales et de Planning Familial « Estelle Mazy »,Rue de la Cathédrale 97,4000,Liège,Belgium,Liège
Collectif contraception de Seraing,Rue Ferrer 176,4100,Seraing,Belgium,Liège
"Planning familial ""l'Oasis familiale"" Hannut",Chaussée de Wavre 22B,4280,Hannut,Belgium,Liège
Centre de Planning Familial des F.P.S.,"Rue Saucy, 14",4800,Verviers,Belgium,Liège
Collectif Contraception,Rue Saucy 34,4800,Verviers,Belgium,Liège
Centre de Planning et de consultations familiales et conjugales « Inforcouple »,Rue Laoureux 52,4800,Verviers,Belgium,Liège
La Famille Heureuse de Verviers,Rue des Raines 111,4800,Verviers,Belgium,Liège
Centre de planning familial des FPS Spa,"Rue du Waux-Hall, 17",4900,Spa,Belgium,Liège
Centre de Planning familial Ourthe-Amblève,"Place Marcellis, 12",4920,Aywaille,Belgium,Liège
Centre de Planning et de Consultations Familiales et Conjugales du Luxembourg - asbl,Rue Pierre Thomas 4a,6600,Bastogne,Belgium,Luxembourg
Centre de Planning et de Consultations Familiales et Conjugales du Luxembourg - asbl,Rue de Bastogne 46,6700,Arlon,Belgium,Luxembourg
Centre de Planning Familial des FPS Arlon,"Rue de la Moselle, 1",6700,Arlon,Belgium,Luxembourg
Antenne d’Athus,"Rue du Prix Nobel, 2",6791,Athus,Belgium,Luxembourg
Centre de planning familial des FPS Libramont,"Avenue Herbofin, 30",6800,Libramont,Belgium,Luxembourg
Centre de planning familial des FPS Marche-en Famenne,"Rue des Savoyards, 2",6900,Marche-en Famenne,Belgium,Luxembourg
Centre de Planning familial de Naumur,Rue Bruno 6,5000,Namur,Belgium,Namur
