Nome,Indirizzo,Codice Postale,Città,Paese,Regione
Spire Leicester Hospital,"Gartree Road, Oadby",LE2,2FF Leicester,England,East Midlands
"bpas Leicester, Leicester Medical Group",573a Melton Road,LE4,"8EA Thurmaston, Leicester",England,East Midlands
Nuffield Health Leicester Hospital,Scraptoft Lane,LE5,1HY Leicester,England,East Midlands
East Midlands Pregnancy Advisory Service,493 Mansfield Road,NG5,2JJ Nottingham,England,East Midlands
"BMI The Park Hospital, Nottingham","Sherwood Lodge Drive, Burntstump Country Park",NG5,8RX Nottinghamshire,England,East Midlands
"bpas Northhampton, St Giles Street Clinic",67 St Giles Street,NN1,1JF Northampton,England,East Midlands
"BMI Three Shires Hospital, Northampton",The Avenue,NN1,"5DR Cliftonville, Northamptonshire",England,East Midlands
The Rivers Hospital,High Wych Road,CM21,"0HH Sawbridgeworth, Hertfordshire",England,East of England
Marie Stopes International Essex Centre,88 Russell Road,IG9,5QB Essex,England,East of England
Nuffield Health Ipswich Hospital,Foxhall Road,IP4,"5SW Suffolk, Ipswich",England,East of England
bpas Luton,2 Gordon Street,LU1,2QP Luton,England,East of England
"bpas Bedford, Broadway House",4-6 The Broadway,MK40,2TE Bedford,England,East of England
bpas Peterborough,Broadway Court,PE1,1RS Peterborough,England,East of England
Fitzwilliam Hospital,"Milton Way, South Bretton",PE3,9AQ Cambridgeshire,England,East of England
"BMI The Sandringham Hospital, King’s Lynn, Norfolk",Gayton Road,PE30,"4HJ Kings Lynn, Norfolk",England,East of England
Pinehill Hospital,Benslow Lane,SG4,"9QZ Hitchin, Hertfordshire",England,East of England
Spire Bushey Hospital,Heathbourne Road,WD23,"1RD Watford, Bushey",England,East of England
bpas London East,32-36 Romford Road,E15,4BZ Stratford London,England,Greater London
"BMI The Cavell Hospital, Enfield",Uplands Park Road,EN2,"7PR Enfield, London",England,Greater London
"BMI The Clementine Churchill Hospital, Harrow",Sudbury Hill,HA1,"3RX Harrow, Middlesex",England,Greater London
"bpas Harrow, Alexandra Avenue Health and Social Care Centre",275 Alexandra Avenue,HA2,9DX Harrow,England,Greater London
bpas London North,Sterling Way,N18,1QX London,England,Greater London
"bpas Finsbury Park, Stroud Green Clinic",12-14 Upper Tollington Park,N4,3EL London,England,Greater London
"bpas Willesden, Willesden Centre for Health & Care",Robson Avenue,NW10,3RY London,England,Greater London
"The Wellington Hospital, London",Wellington Place,NW8,"9LE London, St Johns Wood",England,Greater London
"BMI The Blackheath Hospital, London",40 - 42 Lee Terrace,SE3,"9UD Greater London, Blackheath",England,Greater London
"bpas Streatham, Leigham Clinic",76 Leigham Court Road,SW16,"2QA London, Streatham",England,Greater London
Marie Stopes International: South London Centre,1a Raleigh Gardens,SW2,"1AB London, Brixton Hill",England,Greater London
"bpas Richmond, Rosslyn Clinic",15 Rosslyn Road,TW1,"2AR Middlesex, East Twickenham",England,Greater London
Marie Stopes International Central London Centre,108 Whitfield Street,W1T,5BE London,England,Greater London
Marie Stopes International West London Centre,87 Mattock Lane,W5,"5BJ London, Ealing",England,Greater London
bpas London Central,26-27 Bedford Square,WC1B,3HP London,England,Greater London
bpas Newcastle-upon-Tyne Saville Medical Group,2 North Street East,NE1,8DQ Newcastle upon Tyne,England,North East England
Bolton Pregnancy Advisory Service,Nelson Square,BL1,1JT Bolton,England,North West England
bpas Chester,98a Foregate Street,CH1,1HB Chester,England,North West England
Spire Murrayfield Hospital Wirral,"Holmwood Drive, Thingwall",CH61,"1AU Wirral, Liverpool",England,North West England
Blackpool Pregnancy Advisory Service,93 Abingdon Road,FY1,1PP Blackpool,England,North West England
Manchester Pregnancy Advisory Service,73 - 75 Lever Street,GB-M1,1DE Manchester Manchester,England,North West England
bpas Merseyside Clinic,32 Parkfield Road,L17,"8UJ Liverpool, Aigburth",England,North West England
Marie Stopes International Manchester Centre,"5, Wynnstay Grove",M14,"6XG Manchester, Fallowfield",England,North West England
South Manchester Private Clinic,136 Chester Road Hazel Grove,SK7,6HE Stockport,England,North West England
Spire Cheshire Hospital,"Fir Tree Close,Stretton",WA4,4LU Warrington,England,North West England
"bpas Wigan, Wigan Health Centre",Frog Lane,WN6,7LB Wigan,England,North West England
"bpas Brighton, Wistons Clinic",138 Dyke Road,BN1,5PA Brighton,England,South East England
BMI The Chaucer Hospital,Nackington Road,CT4,"7AR Canterbury, Kent",England,South East England
"bpas High Wycombe, The Practice Hanover House",Cressex Business Park,HP12,3PP High Wycombe,England,South East England
"bpas Aylesbury, Brookside Centre",Station Way,HP20,"2SQ Aylesbury, Bucks",England,South East England
"Spire Alexandra Hospital, Walderslade",Impton Lane Walderslade,ME5,"9PG Chatham, Kent",England,South East England
bpas Milton Keynes,355 Midsummer Boulevard,MK9,3HP Central Milton Keynes,England,South East England
The Manor Hospital,Beech Road,OX3,"7RP Oxford, Headington",England,South East England
bpas Oxford,Headley Way Headington,OX3,9DU Oxford,England,South East England
Marie Stopes International Reading Centre,121 London Street,RG1,"4QA Berkshire, Reading",England,South East England
"bpas Basingstoke, Hackwood Partnership",Essex Road,RG21,8SU Basingstoke,England,South East England
"BMI The Hampshire Clinic, Basingstoke",Basing Road,RG24,"7AL Hampshire, Basingstoke",England,South East England
"bpas Hastings, Station Plaza Health Centre",Station Approach,TN34,1BA Hastings,England,South East England
"bpas Bath, Riverside Health Centre",James Street West,BA1,2BT Bath,England,South West England
"bpas Bournemouth, Dean Park Clinic",23 & 25 Ophir Road,BH8,8LS Bournemouth,England,South West England
Marie Stopes International Bristol Centre,Fox Den Road,BS34,8TT Bristol,England,South West England
Spire Bristol Hospital,"The Glen, Redland Hill, Durdham Down",BS6,6UT Bristol,England,South West England
"bpas Leamington Spa, Blackdown Clinic",Old Milverton Lane,CV32,"6RW Blackdown, Nr Leamington Spa",England,South West England
Bodmin Treatment Centre,Boundary Road Bodmin,PL31,2QT Cornwall,England,South West England
