Nome,Indirizzo,Codice Postale,Città,Paese,Regione
Centre hospitalier de Chartres,"34, rue du Docteur Maunoury",28018,Chartres,France,Centre
Hôpital de Moulins,"10, avenue du Général de Gaulle",03006,Moulins,France,Auvergne
Centre Hospitalier de Montluçon,"18, avenue du du 8 Mai 1945",03113,Montluçon,France,Auvergne
Centre Hospitalier Jacques Lacarin,Boulevard Deniere,03207,Vichy,France,Auvergne
Centre hospitalier Henri Mondor (Aurillac),"50, avenue de la Republique",15002,Aurillac,France,Auvergne
Centre hospitalier (Saint-Flour),"2, avenue Docteur Mallet",15102,Saint-Flour,France,Auvergne
Centre hospitalier (Mauriac),Avenue Fernand Tallandier,15200,Mauriac,France,Auvergne
Centre Hospitalier Emile Roux,"12, Boulevard du Docteur Chantemesse",43012,Le Puy-en-Velay,France,Auvergne
Centre Hospitalier Universitaire de Limoges,"2, Avenue Martin-Luther-King",87042,Limoges,France,Limousin
CHU Hôpital Clemenceau (Caen),Avenue Georges Clemenceau,14033,Caen,France,Lower Normandy
Hôpital Côte de Nacre,Avenue de la Côte de Nacre,14033,Caen,France,Lower Normandy
Centre hospitalier Robert Bisson (Lisieux),"4, Rue Roger Aini",14107,Lisieux,France,Lower Normandy
Centre hospitalier de la Côte Fleurie (Honfleur),La brèche du bois Route Départementale 62,14113,Cricqueboeuf,France,Lower Normandy
Centre Hospitalier de Bayeux,"13, rue de Nesmond",14401,Bayeux,France,Lower Normandy
Centre Hospitalier de Vire,"4, rue Emile Desvaux",14504,Vire,France,Lower Normandy
Centre Hospitalier Régional Universitaire de Lille,"2, Avenue Oscar Lambret",59037,Lille,France,Nord-Pas-de-Calais
Hôpital de la Fraternité et Résidence de la Fraternité,"20, Avenue Julien Lagache",59100,Roubaix,France,Nord-Pas-de-Calais
Centre Hospitalier de Seclin,Rue d'Apolda,59113,Seclin,France,Nord-Pas-de-Calais
Centre hospitalier Gustave Dron,"155, rue du President Coty",59208,Tourcoing,France,Nord-Pas-de-Calais
Centre Hospitalier de Denain,"25 bis, rue Jean Jaurès",59220,Denain,France,Nord-Pas-de-Calais
Centre Hospitalier de Dunkerque,"36, Rue Pont Neuf,",59240,Dunkerque,France,Nord-Pas-de-Calais
Centre Hospitalier de Valenciennes,Avenue Désandrouin 479,59322,Valenciennes,France,Nord-Pas-de-Calais
Centre Hospitalier Le Cateau Cambrésis,"28, Boulevard Paturle",59360,Le Cateau-Cambrésis,France,Nord-Pas-de-Calais
Centre Hospitalier de Cambrai,"516, Avenue de Paris",59407,Cambrai,France,Nord-Pas-de-Calais
Centre Hospitalier de Douai,Route de Cambrai,59507,Douai,France,Nord-Pas-de-Calais
Polyclinique Grande Synthe,Avenue de la Polyclinique,59792,Grande Synthe,France,Nord-Pas-de-Calais
Centre hospitalier Centre Hospitalier de Calais,11 Quai du Commerce,62107,Calais,France,Nord-Pas-de-Calais
Centre hospitalier de l'arrondissement de Montreuil-sur-Mer,Rang-du-Fliers,62180,Rang-du-Fliers,France,Nord-Pas-de-Calais
Centre hospitalier Dr Schaffner,"99, route de la Bassee",62307,Lens cedex,France,Nord-Pas-de-Calais
Centre hospitalier de Béthune,rue Delbecque,62408,Béthune,France,Nord-Pas-de-Calais
Centre hospitalier 'Guy Thomas',"1, Boulevard Etienne Clémentel",63204,Riom,France,Nord-Pas-de-Calais
Centre hospitalier de Thiers,Route du Fau,63300,Thiers,France,Nord-Pas-de-Calais
Centre Hospitalier Paul Ardier,"13, rue du Docteur Sauvat",63503,Issoire,France,Nord-Pas-de-Calais
Centre Hospitalier d'Ambert,"14, avenue Georges Clemenceau",63600,Ambert,France,Nord-Pas-de-Calais
Centre hospitalier Feurs,"26, rue Camille Pariat",42110,Feurs,France,Pays de la Loire
Centre Hospitalier de Châteaubriant,Rue de Verdun,44146,Châteaubriant,France,Pays de la Loire
Centre hospitalier Lucien Hussel (Vienne),Mont Salomon,38200,Vienne,France,Poitou-Charentes
Centre Hospitalier de Digne les Bains,Quartier Saint-Christophe,04003,Digne les Bains,France,Provence-Alpes-Côte d'Azur
Centre Hospitalier de Manosque,"2, rue Léon Mure",04101,Manosque,France,Provence-Alpes-Côte d'Azur
Centre hospitalier des Escartons (Briançon),"24, avenue Adrien Daurelle",05105,Briançon,France,Provence-Alpes-Côte d'Azur
Centre Hospitalier de Grasse,Chemin de Clavary,06130,Grasse,France,Provence-Alpes-Côte d'Azur
