Nome,Indirizzo,Codice Postale,Città,Paese,Regione
Our Lady of Lourdes Hospital Drogheda,"Windmill Rd, Moneymore, Drogheda, Co. Louth, A92 VW28",D02,Co. Louth,Ireland,Irland
Rotunda Hospital,"Parnell Square E, Rotunda, Dublin 1",D02,Dublin,Ireland,Irland
Midland Regional Hospital Mullingar,"Longford Rd, Robinstown (Levinge), Mullingar, Co. Westmeath, N91 NA43",D02,Co. Westmeath,Ireland,Irland
Coombe Women & Infants University Hospital,"Cork St, Merchants Quay, Dublin, D08 XW7X",D02,Dublin,Ireland,Irland
University Maternity Hospital Limerick,"Ennis Road, Limerick, V94 C566",D02,Limerick,Ireland,Irland
The National Maternity Hospital,"Holles St, Dublin, D02 YH21",D02,Dublin,Ireland,Irland
University Hospital Waterford,"Dunmore Road, Waterford, X91 ER8E",D02,Waterford,Ireland,Irland
University Hospital Galway,"Newcastle Rd, Galway, H91 YR71",D02,Galway,Ireland,Irland
Cork University Maternity Hospital,"Wilton Rd, Wilton, Cork",D02,Cork,Ireland,Irland
Mayo University Hospital,"Westport Rd, Curragh, Castlebar, Co. Mayo",D02,Co. Mayo,Ireland,Irland
