Nome,Indirizzo,Codice Postale,Città,Paese,Regione
"Centro Hospitalar do Barlavento Algarvio, E.P.E. - H. Portimão",Rua do Castelo dos Governadores,8600-563,Lagos,Portugal,Algarve
"Centro Hospitalar do Baixo Vouga, E.P.E.-H. Infante D. Pedro, Aveiro",Av. Artur Ravara,3814-501,Aveiro,Portugal,Aveiro
"Centro Hospitalar de Entre Douro e Vouga, E.P.E.- H. de S. Sebastião",Rua Dr. Cândido de Pinho,4520-211,Santa Maria da Feira,Portugal,Aveiro
Hospital da Horta,Estrada Príncipe Alberto do Mónaco,9900-038,Horta,Portugal,Azores
Hospital S. Marcos de Braga,Sete Fontes – São Victor,4710-243,Braga,Portugal,Braga
"Centro Hospitalar do Médio Ave, E.P.E. - H. Vila Nova de Famalicão",Rua Cupertino de Miranda s/n,4761-917,Vila Nova de Famalicão,Portugal,Braga
Hospital de Cascais Dr. José D'Almeida,Estr. Militar,2755-009,Alcabideche,Portugal,Cascais
"Centro Hospitalar de Leiria, E.P.E.-H. Sto André",Rua das Olhalvas,2410-197,Leiria,Portugal,Centro
"Centro Hospitalar de Tondela/ Viseu, E.P.E -H. São Teotónio",Av. General Humberto Delgado,3460-525,Tondela,Portugal,Centro
"Centro Hospitalar de Viseu, E.P.E -H. São Teotónio",Av. Rei D. Duarte,3504-509,Viseu,Portugal,Centro
Multimédica Lusa,Largo 25 de Abril,6355-256,Vilar Formoso,Portugal,Centro
"Centro Hospitalar Universitário de Coimbra, E.P.E.- Maternidade Bissaya Barreto",Av. Bissaya Barreto,3000-075,Coimbra,Portugal,Coimbra
Hospital Distrital da Figueira da Foz,Gala,3080-707,Figueira da Foz,Portugal,Coimbra
Hospital de Faro,Rua Leão Penedo,8000-386, Faro,Portugal,Faro
"Hospital de Portimão - Centro Hospitalar do Barlavento Algarvio, EPE H. Portimão",Sítio do Poço Seco,8500-338,Portimão,Portugal,Faro
"Centro Hospitalar Lisboa Central, E.P.E.- Maternidade Dr. Alfredo da Costa",Rua Viriato,1069-089,Lisboa,Portugal,Lisbon
Clinica dos Arcos,"15, Rua Mae de Agua",1250-154,Lisbon,Portugal,Lisbon
"Centro Hospitalar de Lisboa Norte, E.P.E.-H. Sta Maria",Av. Professor Egas Moniz,1649-035, Lisboa,Portugal,Lisbon
Hospital SAMS,Rua Cidade de Gabela 1,1849-017,Lisboa,Portugal,Lisbon
Hospital Vila Franca de Xira - H. Dr. Reynaldo dos Santos,"Estrada Nacional Nº1, Povos",2600-009,Vila Franca de Xira,Portugal,Lisbon
Hospital Beatriz Ângelo - Loures,"Avenida Carlos Teixeira, 3",2674-514,Loures,Portugal,Lisbon
"Hospital Professor Dr. Fernando Fonseca, E.P.E.",Rua IC 19 - Venteira,2720-276,Amadora,Portugal,Lisbon
Hospital Garcia de Orta,Av. Torrado da Silva,2805-267,Almada,Portugal,Lisbon
Centro Hospitalar Do Funchal,Av. Luís de Camões,9004-514,Funchal,Portugal,Madeira
Centro Hospitalar de Vila Nova de Gaia-Espinho-EPE,Rua Conceição Fernandes,4434-502, Vila Nova de Gaia,Portugal,Norte
"Centro Hospitalar Vila do Conde, E.P.E. - H. S. Pedro Pescador",Largo António José Almeida,4480-711,Vila do Conde,Portugal,Norte
"Centro Hospitalar Póvoa do Varzim, E.P.E. - H. S. Pedro Pescador",Largo da Misericórdia,4490-421,Póvoa do Varzim,Portugal,Norte
Centro de Saúde de Amarante,Rua Nova - S. Gonçalo,4600-093,Amarante,Portugal,Norte
"Centro Hospitalar do Alto Ave, E.P.E. - Unidade Guimarães","Rua dos Cutileiros, Creixomil.",4835-044,Guimarães,Portugal,Norte
"ULS do Nordeste, E.P.E. -H. de Bragança",Av. Abade Baçal,5301-852,Bragança,Portugal,Norte
"Centro Hospitalar de Trás-os-Montes e Alto Douro, E.P.E. - H. de Chaves",Av. Dr. Francisco Sá Carneiro,5400-279,Chaves,Portugal,Norte
ULS do Norte Alentejano - H. Dr. José Maria Grande,Av. de Santo António,7300-853,Portalegre,Portugal,Portalegre
"Centro Hospitalar do Porto, E.P.E. - Maternidade Júlio Dinis",Largo Prof. Abel Salazar,4099-001,Porto,Portugal,Porto
"ULS de Matosinhos, E.P.E. - Hospital Pedro Hispano",Rua Dr. Eduardo Torres,4464-513,Senhora da Hora,Portugal,Porto
"Hospital Distrital de Santarém, E.P.E.",Av. Bernardo Santareno,2005-177,Santarém,Portugal,Santarem
"Centro Hospitalar do Médio Tejo, E.P.E. - H. de Abrantes",Av. Maria de Lourdes de Mello Castro - Ap. 118,2304-909,Tomar,Portugal,Santarem
"Centro Hospitalar do Barreiro/Montijo, E.P.E.Hospital Nossa Senhora do Rosário",Avenida Movimento das Forças Armadas,2830-094,Barreiro,Portugal,Setubal
"Centro Hospitalar de Setúbal, E.P.E.- H. S. Bernardo",Rua Camilo Castelo Branco,2910,- 446  Setúbal,Portugal,Setubal
"Centro Hospitalar do Alto Minho, E.P.E. - H. Viana do Castelo, St. Luzia",Estrada de Santa Luzia,4901,– 858 Viana do Castelo,Portugal,Viana do Castelo
"Centro Hospitalar de Trás-os-Montes e Alto Douro, E.P.E. - H. Vila Real",Av. Noruega Lordelo,5000-508,Vila Real,Portugal,Vila Real
