Nome,Indirizzo,Codice Postale,Città,Paese,Regione
Clinica Medialtabix,Calle Médico Diego Navarro n° 4 bajo,03203,Elche,Spain,Alicante
Ginecología Almería,"Artes de Arcos, 4",04004,Almeria,Spain,Andalusia
Clínica El Campo de Gibraltar Cádiz,C/ de Juan González nº 3 Loca 1ºD,11204,"Algeciras, Cádiz",Spain,Andalusia
Clinica Ginegranada,"Santisteban Márquez, 3",18003,Granada,Spain,Andalusia
Ginecenter S.L.P,"C/ San Julian, Bloque 8, local s/n",18013,Granada,Spain,Andalusia
Clínica Poliplaning,C/ Los Romeros nº 10,21004,Huelva,Spain,Andalusia
Ginecenter,"Calle de Alemania, 15",29001,Málaga,Spain,Andalusia
Centro Médico 2002,"C/ Andalucía, 18",29009,Málaga,Spain,Andalusia
Clínica El Sur Málaga,"Avda Carlos Haya, 60",29010,Málaga,Spain,Andalusia
Clínica El Sur,C/Tiberiades 4 - 6,41005,Sevilla,Spain,Andalusia
Clínica Triana,"Av. Ronda de Triana, 14 F",41010,Sevilla,Spain,Andalusia
Clinica Buenavista,"Av. Buenavista, n° 6 Bajo",33006,Oviedo,Spain,Asturias
Belladona Espacio de Salud,Arcebal y Rato numero 6,33207,Gijón,Spain,Asturias
Clínica Sirona,"Puerto de la Cubilla, 16-18 Bajo",33207,Gijón,Spain,Asturias
Belladona Avilés,"c/Carreño Miranda, 11 - 2ª",33400,Avilés,Spain,Asturias
Clinica Tara,Casas Altas,38350,Tacoronte,Spain,Canary Islands
Clínica Los Lagos,"C/ Respuela,4 - Planta baja, Santa Cruz de Bezana",39100,Santander,Spain,Cantabria
Centro Ginecológico Buenavista,"Av. Mariano Andrés, 20 Bajo",24008,León,Spain,Castile and León
Clinica Ginecologica Ginemédica,"Calle San José, 15-17",47007,Valladolid,Spain,Castile and León
Clínica Cire,"Urb. Las Norias, C6",13170,Miguelturra - Ciudad Real,Spain,Castilla–La Mancha
Centro Casanovas,Calabria 79,08015,Barcelona,Spain,Catalonia
Clinica Dalmases,"Dalmases, 34 Torre",08017,Barcelona,Spain,Catalonia
Clínica E.M.E.C.E.,"c/Anglí, 39 bis torre",08017,Barcelona,Spain,Catalonia
Instituto Ginetec,"Calle de Espronceda, 346",08027,Barcelona,Spain,Catalonia
Clínica Ginecológica Sants,"c/Roger 23, bajos",08028,Barcelona,Spain,Catalonia
Centre Mèdic Les Corts,"Nicaragua, 128-130, baixos",08029,Barcelona,Spain,Catalonia
Agrupación Tutor Medica Clínica D´Ara,"Berguedà, 17-19",08029,Barcelona,Spain,Catalonia
Adalia Centre Mèdic,Carrer de la Creu 8 bajos,17003,Girona,Spain,Catalonia
Centre Medico Eira,Calle Frederic Monpou 7,43005,Tarragona,Spain,Catalonia
Clínica El Pasaje,"Avda del Pasaje, 36 Bajo Dcha.",15006,A Coruña,Spain,Galicia
Clínica Castrelos,"Av. de Balaídos, 1 - 1º H",36210,Vigo,Spain,Galicia
Clínica Ginecológica Callao,"Concepción Arenal, 8",28004,Madrid,Spain,Madrid
Sergine Medica,Calle Toledo 135 duplicado,28005,Madrid,Spain,Madrid
Centro Médico Pacífico,"C/Severino Aznar Embid, nº8",28011,Madrid,Spain,Madrid
Clinica Dator,Hermano Garate 4,28020,Madrid,Spain,Madrid
Centro Clínico El Bosque,"Alonso Saavedra, 29",28033,Madrid,Spain,Madrid
Clínica Isadora,"Calle de los Pirineos, 7",28040,Madrid,Spain,Madrid
Ginemur,C/Princesa nº7,30002,Murcia,Spain,Murcia
Instituto Ginetec S.L,"Avda. General Marvá, 10",03004,Alicante,Spain,Valencia
Deia Médica,"Beato Gálvez, 5 Bajo",46007,Valencia,Spain,Valencia
Mediterranea Médica,c/Salvador Guinot nº 14.,46017,Valencia,Spain,Valencia
Aragon Medica Xuquer,Plaza Poeta Vicente Gaos Nr. 5 bajo,46021,Valencia,Spain,Valencia
