Nome,Indirizzo,Codice Postale,Città,Paese,Regione
"Kantonsspital Aargau Frauenklinik, Ambulatorium",Tellstrasse 15,5001,Aarau,Switzerland,Aargau
"Kantonsspital Baden, Frauenklinik",Im Ergel,5404,Baden,Switzerland,Aargau
Gruppenpraxis Paradies,Paradiesstrasse 11,4102,Binningen,Switzerland,Basel-Country
"Spitalzentrum Biel, Familienplannung",Vogelsang 84,2501,Biel,Switzerland,Bern
Hôpital du Jura bernois SA,Rue Beausite 49,2740,Moutier,Switzerland,Bern
Frauenklinik des Inselspitals,Effingerstrasse 102,3010,Bern,Switzerland,Bern
Dr. med. Béatrice Maerki,Schänzlistrasse 33,3013,Bern,Switzerland,Bern
Spital Thun,Krankenhausstrasse 12,3600,Thun,Switzerland,Bern
"SRO Spital Region Oberaargau, Frauenklinik",St. Urbanstrasse 67,4901,Langenthal,Switzerland,Bern
Dr. med. Nenad Pavic,Kirschgartenstrasse 7,4003,Basel,Switzerland,Canton of Basel-Stadt
"Universitätsspital Basel, Frauenklinik",Spitalstrasse 21,4031,Basel,Switzerland,Canton of Basel-Stadt
"Gemeinschaftspraxis Drs. Angelika Schwendke, Angelika Kärpf",Efringerstrasse 25,4057,Basel,Switzerland,Canton of Basel-Stadt
"Kantonsspital Münsterlingen, Frauenklinik",Klosterstrasse / Seestrasse,8596,Münsterlingen,Switzerland,Canton of Thurgau
"Kantonsspital Uri, Gynäkologie",Spitalstrasse 1,6460,Altdorf,Switzerland,Canton of Uri
Département de Gynécologie-Obstétrique Maternité - CHUV,Av. Pierre-Decker 2,1011,Lausanne,Switzerland,Canton of Vaud
Docteur Andrei Cepleanu,Route de la Croix-Blanche 42,1066,Epalinges,Switzerland,Canton of Vaud
Hôpital de Morges,Chemin du Crêt 2,1110,Morges,Switzerland,Canton of Vaud
"Hôpital du Chablais, Aigle",Chemin du Grand-Chêne,1860,Aigle,Switzerland,Canton of Vaud
Dr. Giovanna Cereda,Via al Ticino 1,6514,Sementina,Switzerland,Canton Ticino
"Ospedale La Carita, Locarno",Via all'Ospedale 1,6600,Locarno,Switzerland,Canton Ticino
Dott.med. Francesco Salsano,Via Vela 1,6600,Locarno,Switzerland,Canton Ticino
Dr. Umberto Botta,Via General Guisan 18,6900,Lugano-Paradiso,Switzerland,Canton Ticino
Dr. Ana Godinho Lourenço,Rue Plantamour 19,1201,Genf,Switzerland,Geneva
Docteur Kuang Chu Chen,Rue du Conseil-Général 16,1202,Genève,Switzerland,Geneva
"Hôpiteaux Universitaires de Genève, Gynécologie",Boulevard de la Cluse 30,1211,Genève,Switzerland,Geneva
Dr méd. Lancelot Voûte,chemin du Vieux-Vésenaz 32,1222,Vésenaz,Switzerland,Geneva
Dr. med. Miltiades Dedes,Bankstrasse 26,8750,Glarus,Switzerland,Glarus
Frauenklinik Kantonsspital Glarus,Burgstrasse 99,8750,Glarus,Switzerland,Glarus
Kantonales Frauenspital Fontana,Lürlibadstrasse 118,7000,Chur,Switzerland,Grisons
Hôpital régional du Jura,Faubourg des Capucins 30,2800,Delémont,Switzerland,Jura
Frauenpraxis Runa GmbH,Theatergasse 26,4500,Solothurn,Switzerland,Solothurn
"Kantonsspital, Ambulatorium Frauenklinik",Baslerstrasse 150,4600,Olten,Switzerland,Solothurn
Dr. med. Djahan Kuhenuri,Bahnhofstraße 7,4600,Olten,Switzerland,Solothurn
Dr. med. Katharina Keller Brüschweiler,Oberstrasse 95,9000,St. Gallen,Switzerland,St Gall
Zuger Kantonsspital,Landhausstrasse 11,6340,Baar,Switzerland,Zug
Praxis Capitol,Weinbergstrasse 9,8001,Zürich,Switzerland,Zurich
Frauenambulatorium,Mattengasse 27,8005,Zürich,Switzerland,Zurich
Dr.Pierre Villars,Dufourstrasse 143,8008,Zürich,Switzerland,Zurich
Praxisgemeinschaft Tiefenbrunnen Winizki-Oertli,Paulstrasse 11,8008,Zürich,Switzerland,Zurich
Praxisgemeinschaft Maggi-Oertle,Dennlerstraße 25,8047,Zürich,Switzerland,Zurich
Med. pract. Christian La Roche,Altstetterstraße 118,8048,Zürich-Altstetten,Switzerland,Zurich
Gemeinschaftspraxis Felsenrain,Schaffhauserstr. 432,8050,Zürich,Switzerland,Zurich
Universitätsspital Frauenklinik Zürich,Frauenklinikstrasse 10,8091,Zürich,Switzerland,Zurich
"Kantonsspital Winterthur, Gynäkologie",Brauerstrasse 15,8401,Winterthur,Switzerland,Zurich
Ambulatorium - Frauenklinik - Spital Uster,Brunnenstrasse 42,8610,Uster,Switzerland,Zurich
GZO Spital Wetzikon,Spitalstrasse 66,8620,Wetzikon,Switzerland,Zurich
Spital Männedorf,Asylstrasse 10,8708,Männedorf,Switzerland,Zurich
Frauenklinik Spital Zimmerberg,Asylstrasse 19,8810,Horgen,Switzerland,Zurich
Medizin Feminin AG,Austrasse 35a,8953,Dietikon,Switzerland,Zurich
